,SN Name,Spectrum Phase,Spectrum Cardinality,SN Subtype,SN Maintype,SN Subtype ID,SN Maintype ID,SNR,S (SNR),N (SNR),Denoising Parameter,searchBlu,searchRed,minima_i,maxBlu,maxRed,noiseWindowBlu,noiseWindowRed,useBlu,useRed,Training Set,Imposed SNR,Measured SNR,Measured S (SNR),Measured N (SNR)
835,sn2002ck,37.1,1,Ia-norm,Ia,0,0,3.7300002856444663,0.15180051117777613,0.040697184866715946,6.452862996019251,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,31.315696053201197,0.15003512874093114,0.004791052017047344
849,sn2002de,-6.1,1,Ia-norm,Ia,0,0,4.005001556710768,0.2601737066322114,0.0649621986279294,9.084293257655826,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,35.10446218392143,0.2614033394218525,0.007446441938130039
857,sn2002de,8.5,1,Ia-norm,Ia,0,0,5.538638515089856,0.19333904735293397,0.03490732367281011,8.79543750054547,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,37.65497644534917,0.194970835046734,0.0051778238483220496
880,sn2002do,16.7,1,Ia-norm,Ia,0,0,3.982427213320605,0.20777661405236414,0.05217336135043056,7.574552215079221,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,27.072146979867192,0.1952901453386342,0.007213692563204022
881,sn2002do,22.6,1,Ia-norm,Ia,0,0,1.04231877464642,0.0701913221453835,0.06734151187979331,5.480633969845641,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,34.12507498881458,0.06969802829646618,0.0020424285754481594
882,sn2002do,30.4,1,Ia-norm,Ia,0,0,1.1336664984304936,0.11050658437761805,0.09747715446351204,6.26475995492196,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,35.57235072372428,0.1103219030295684,0.003101338561693405
991,sn2002hw,-5.2,1,Ia-norm,Ia,0,0,6.678451848122669,0.4130013423507156,0.061840880452976754,7.366250580276877,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,23.47668139299014,0.3982728036125405,0.016964612542361292
993,sn2002hw,17.5,1,Ia-norm,Ia,0,0,4.645117087186322,0.16689982788625815,0.03593016596861589,7.665947705023474,500.0,0.0,,1.0,0.0,100.0,100.0,True,True,False,20.0,27.839720768759385,0.16599501747207743,0.005962524511321621
994,sn2002hw,20.4,1,Ia-norm,Ia,0,0,2.5924659800693846,0.10967514912703821,0.042305337840577134,6.275110216386011,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,38.09536033895401,0.11097939650970709,0.0029131998102200985
1037,sn2003cg,-0.2,1,Ia-norm,Ia,0,0,37.82514693125842,0.3560869357122864,0.009414026503569739,20.0,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,33.39094926230464,0.3401716581630085,0.010187540806066018
1042,sn2003cg,2.8,1,Ia-norm,Ia,0,0,36.1557161980034,0.3166006889591451,0.008756587401707412,10.268480914072592,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,39.53439959599568,0.309844219949849,0.007837332123825454
1044,sn2003cg,6.8,1,Ia-norm,Ia,0,0,30.774308105865376,0.2865596004752699,0.009311650467964658,8.97870679157126,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,26.084910554105434,0.2791577913539913,0.01070188800436793
1046,sn2003cg,7.7,1,Ia-norm,Ia,0,0,22.71498755463327,0.24026738639882506,0.010577482634359476,8.460454375004597,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,56.632810360961905,0.2362498877235765,0.004171608052254248
1072,sn2003ch,13.5,1,Ia-norm,Ia,0,0,1.8219358362250802,0.17649384787597652,0.09687160456850065,7.441269295629117,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,36.24856501060548,0.1774132455702631,0.004894352245898731
1134,sn2003ic,3.4,1,Ia-norm,Ia,0,0,5.07056300281031,0.21395191449708761,0.04219490308640418,8.680768747418778,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,34.607447206066624,0.2093404130164174,0.006048998984811581
1138,sn2003ic,8.0,1,Ia-norm,Ia,0,0,2.00967350048341,0.10285763804694935,0.05118126801304182,6.372275258537241,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,29.65747063969787,0.10213231003260725,0.0034437296178554933
1153,sn2003it,30.9,1,Ia-norm,Ia,0,0,2.8875515028559358,0.09676034394914579,0.033509478135176074,6.396857232555834,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,37.27296187368937,0.09505899539168554,0.0025503472386718693
1154,sn2003it,31.9,1,Ia-norm,Ia,0,0,2.9505712612639523,0.10543346914810683,0.03573323936699015,6.4143161343789,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,31.255224152214012,0.10382214167355425,0.003321753226530607
1162,sn2003iv,6.986,1,Ia-norm,Ia,0,0,11.838933693360412,0.29308262219496967,0.024755829349676836,10.0,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,20.135598297002645,0.28304792630118714,0.01405709043884339
1283,sn2004dt,26.4,1,Ia-norm,Ia,0,0,1.8066338832891917,0.0939693865633165,0.052013519414478196,6.067417084459612,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,27.9778231607733,0.08984281486348164,0.003211215338205691
1355,sn2004l,2.5,1,Ia-norm,Ia,0,0,12.985212705696071,0.3078067711576596,0.02370440732346553,10.0,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,24.611458230817817,0.30504931257327705,0.012394605379022296
1356,sn2004l,3.4,1,Ia-norm,Ia,0,0,15.456434617294336,0.306649018472158,0.019839570124991553,10.0,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,27.32848858439202,0.3033229955701488,0.011099150054839992
1359,sn2004l,21.8,1,Ia-norm,Ia,0,0,3.3486596739248435,0.15201930387138088,0.04539705992075466,6.888348620895691,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.9025223198246,0.15571487164834513,0.004593017303532322
1364,sn2004l,27.5,1,Ia-norm,Ia,0,0,2.4354194099607356,0.11916889523724442,0.04893156995868966,6.753432346920316,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,34.67664770701583,0.11723916663121733,0.003380925619505525
1489,sn2005eu,8.3,1,Ia-norm,Ia,0,0,6.081948881590393,0.19328153927710254,0.03177954024936832,6.341256119956659,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,30.475347746260947,0.1907408895380055,0.00625885850839578
1495,sn2005hf,8.2,1,Ia-norm,Ia,0,0,6.460510725210543,0.21583045604863543,0.03340764611788516,6.178165331822288,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,27.800827563600436,0.21697989965320408,0.007804800024632914
1499,sn2005hf,12.9,1,Ia-norm,Ia,0,0,2.1087223595309488,0.10576106202052249,0.05015409522382421,8.305189980482055,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,37.07936326384194,0.1078233538580654,0.0029079073739976995
1500,sn2005hf,14.9,1,Ia-norm,Ia,0,0,5.4781570413067335,0.14080276969687291,0.025702580016451388,7.366021760735957,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,32.894559223315596,0.14005344583862572,0.0042576477431366866
1501,sn2005hf,17.8,1,Ia-norm,Ia,0,0,3.040632294711419,0.10836716624483823,0.035639681402227286,7.188940121448402,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,29.372839626523998,0.11010339604143475,0.0037484763966099542
1509,sn2005kc,29.4,1,Ia-norm,Ia,0,0,5.51287018791571,0.13121970591004928,0.02380242984819137,6.88154826264708,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,31.827800365946146,0.12949826864263053,0.0040687156245074975
1564,sn2006bt,32.9,1,Ia-norm,Ia,0,0,3.161306201316597,0.08565301870512677,0.027094186153006836,5.802925191025492,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.079316364328555,0.08247784160951858,0.002493335735875711
1576,sn2006cm,-1.9,1,Ia-norm,Ia,0,0,7.829106079108799,0.22354536253929622,0.02855311452935924,7.2986321193277774,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,43.52744230708043,0.2248505139201262,0.005165718498547081
1577,sn2006cm,-1.0,1,Ia-norm,Ia,0,0,9.00158894680591,0.337663307491636,0.03751152263084077,9.99967771397455,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,20.169444264422047,0.3210392231692671,0.01591710802540877
1715,sn2006s,-2.6,1,Ia-norm,Ia,0,0,9.968822920951082,0.29738129796607143,0.029831134560638736,7.248414502059734,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,35.01423972392428,0.30575658278217355,0.008732349615269766
1720,sn2006s,4.1,1,Ia-norm,Ia,0,0,7.359357417111112,0.2707748485031243,0.03679327326507481,8.3178436241681,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,31.51585652920983,0.28177013608967033,0.00894058315783096
2037,sn1991t,-9.475,1,Ia-91T,Ia,1,0,6.059035289996785,0.06794537858140355,0.011213893850986235,6.884965246480044,500.0,0.0,,0.0,0.0,100.0,100.0,False,True,False,20.0,48.2578501158945,0.06897114636933191,0.0014292212811737991
2055,sn1991t,23.5,1,Ia-91T,Ia,1,0,11.7207889844418,0.1722601176153854,0.014696972861131093,6.92213372166064,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,41.88419262314445,0.17548603779907887,0.004189791585050357
2061,sn1995ac,-5.614,1,Ia-91T,Ia,1,0,2.8007584035082935,0.12670261078198722,0.04523867914607581,7.058601149840907,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,29.866846866982154,0.1226091166510983,0.004105191190659061
2065,sn1995bd,-12.0,1,Ia-91T,Ia,1,0,1.235538906728674,0.09808628498756675,0.07938745146218745,8.820743768544547,500.0,0.0,,0.0,3.0,100.0,100.0,True,True,False,20.0,26.252133815272288,0.09365896220256043,0.0035676704553469075
2066,sn1995bd,-10.1,1,Ia-91T,Ia,1,0,0.6779447448858518,0.04820110155695432,0.0710988645026965,6.520734530534288,500.0,0.0,,0.0,1.0,100.0,100.0,True,True,False,20.0,31.81381105803471,0.046497619433301114,0.0014615545226090714
2074,sn1997br,-8.0,1,Ia-91T,Ia,1,0,9.565669763316752,0.10535216509076915,0.011013569117217766,9.353871423293674,500.0,0.0,,0.0,1.0,100.0,100.0,False,True,False,20.0,41.38208757106784,0.10687399860059442,0.002582614963951578
2093,sn1998ab,-7.8,1,Ia-91T,Ia,1,0,2.2278778795482976,0.08220793110241872,0.0368996576774156,8.295580919032343,500.0,0.0,,0.0,3.0,100.0,100.0,True,True,False,20.0,37.03699067694223,0.08185776605413199,0.002210162449971763
2183,sn1999ac,26.7,1,Ia-91T,Ia,1,0,9.603775449777292,0.19996286670060742,0.020821276772484774,14.99967511017507,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,11.770197450257735,0.18629993603290596,0.015828106267565333
2247,sn2001eh,-2.0,1,Ia-91T,Ia,1,0,5.254224680199547,0.2530890336100567,0.04816867359399727,8.34257751842218,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.46387001514363,0.2438899968927618,0.007288158745010444
2252,sn2001eh,4.7,1,Ia-91T,Ia,1,0,11.366649248019934,0.2205521134161512,0.019403441471951048,6.903291441983327,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,37.09339515604754,0.2153940221417598,0.005806802565136529
2253,sn2001eh,5.7,1,Ia-91T,Ia,1,0,11.469214224594714,0.23403292366928163,0.020405314530390302,7.063303772645652,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,32.181895469664234,0.23188910056807913,0.007205576215567097
2255,sn2001eh,24.9,1,Ia-91T,Ia,1,0,10.775573304645324,0.18843213493485253,0.01748697072606057,10.0,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,17.397209324887665,0.18411629849511604,0.010583093820209862
2258,sn2001eh,28.8,1,Ia-91T,Ia,1,0,6.268362715556781,0.15634661227311616,0.02494217698747652,6.3307766144751705,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,34.10385910242785,0.15485138193442738,0.004540582385979994
2263,sn2001eh,35.5,1,Ia-91T,Ia,1,0,4.545205964268701,0.11581570904130412,0.025480849482238645,6.317262089605064,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.87566087230907,0.11396021153712241,0.00336407345576767
2264,sn2001eh,36.5,1,Ia-91T,Ia,1,0,5.644629417942873,0.13195149124322714,0.023376466632829104,6.886693117971489,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,24.743788879506486,0.1281852368276401,0.00518050155745577
2340,sn2005m,5.1,1,Ia-91T,Ia,1,0,6.975467420222471,0.24690074047110716,0.03539558363577486,8.146685744468854,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.76904176862984,0.24417595627576638,0.007230763548126397
2342,sn2005m,24.7,1,Ia-91T,Ia,1,0,12.154100820941403,0.21144529189070724,0.017397032903198315,6.903324414192424,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.454537738155715,0.21118668376951702,0.006312646894793392
2345,sn2005m,40.3,1,Ia-91T,Ia,1,0,4.016904046762619,0.15159695679299878,0.03773975057113369,6.83981329598721,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,30.533666491312765,0.14710769268707363,0.004817884964091284
2397,sn1991bg,15.8,1,Ia-91bg,Ia,2,0,22.952645087322864,0.3298950950196307,0.014372857409878105,8.984077165212321,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,32.0528966533579,0.3301422031830093,0.010299917874923894
2423,sn1997c,3.9,1,Ia-91bg,Ia,2,0,19.065853563072025,0.2759666194767077,0.014474391013430296,8.48619738664168,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,32.9745951843737,0.2725126920143096,0.008264322594123928
2425,sn1997c,11.9,1,Ia-91bg,Ia,2,0,6.080471308519212,0.18354669833324297,0.030186261725481674,8.886649259492007,500.0,0.0,,1.0,0.0,100.0,100.0,True,True,False,20.0,33.190377869170106,0.18029417552028215,0.005432121810452597
2426,sn1997c,13.0,1,Ia-91bg,Ia,2,0,5.679809736591964,0.22136160815377956,0.0389734196072917,6.521600739181502,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,34.224016976369434,0.21543334197133768,0.006294799997326069
2431,sn1997c,19.7,1,Ia-91bg,Ia,2,0,5.6018076373658685,0.16997118388728213,0.03034220289063826,7.949377150959354,500.0,0.0,,1.0,0.0,100.0,100.0,True,True,False,20.0,28.479994614273615,0.1693918070661219,0.005947747159377131
2432,sn1997c,20.8,1,Ia-91bg,Ia,2,0,0.6388866803474266,0.04097078140643592,0.06412840127478633,5.50320026033394,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,44.39852554599298,0.04010492046753192,0.0009032939714627851
2433,sn1997c,21.7,1,Ia-91bg,Ia,2,0,2.190551466169996,0.08990865280025312,0.04104384406792834,6.523002117481998,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,40.72608054431451,0.08817431120247739,0.002165057624598417
2480,sn2000c,20.9,1,Ia-91bg,Ia,2,0,2.153608057908794,0.08843429350872677,0.04106331845479749,6.020622614172495,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,28.38194831226938,0.08750418858514311,0.0030830930851676406
2482,sn2000c,26.8,1,Ia-91bg,Ia,2,0,3.065175794661022,0.0921704099510876,0.030070187201540505,6.7308740981331585,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,50.38260304424251,0.09315495990154417,0.001848950913070965
2483,sn2002cf,-5.4,1,Ia-91bg,Ia,2,0,9.282143436949076,0.3511606522862014,0.037831849364485096,8.752203284177753,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.46676358824981,0.3480501061491107,0.010399873451501333
2492,sn2002e,9.0,1,Ia-91bg,Ia,2,0,4.810651618760267,0.17666596408360274,0.03672391561148437,6.013249814765446,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,31.66457223047517,0.1692842695566482,0.005346172634971606
2493,sn2002e,11.0,1,Ia-91bg,Ia,2,0,3.873841891662843,0.09939879437395174,0.02565897038489738,5.993446406592955,500.0,0.0,3.0,0.0,0.0,100.0,100.0,True,True,False,20.0,36.0539146165993,0.0951580481762323,0.0026393263862787685
2494,sn2002e,26.7,1,Ia-91bg,Ia,2,0,2.9760936423763464,0.12748817909899382,0.04283742194254253,5.539431614071388,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,37.93702680476076,0.12609257110278618,0.0033237336112740042
2499,sn2002fb,17.0,1,Ia-91bg,Ia,2,0,1.7563080346495819,0.08968522372649207,0.05106463214716549,5.867215786286679,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,26.413018102899848,0.0882457186634782,0.0033409933813580294
2501,sn2002fb,22.9,1,Ia-91bg,Ia,2,0,2.7042659902032615,0.11699624581331587,0.04326358658399651,5.714064760547884,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,29.33228199046581,0.11342366226203741,0.003866854351765224
2502,sn2002fb,26.8,1,Ia-91bg,Ia,2,0,2.242043125328054,0.11331919479380217,0.050542825654712326,6.519083707107096,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.18040095013161,0.11389316214857183,0.0034325432751625643
2516,sn2005bl,32.2,1,Ia-91bg,Ia,2,0,2.9551929092622027,0.141639473690898,0.04792901107977411,6.791506484303613,500.0,0.0,,0.0,1.0,100.0,100.0,True,True,False,20.0,31.120604189997568,0.14245682014412422,0.004577572442822658
2535,sn2006bz,-1.4,1,Ia-91bg,Ia,2,0,5.173004482055057,0.2869982219287914,0.05547998709925278,8.2274778897873,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,31.069632451792085,0.28374881943600083,0.00913267383758942
2557,sn2006h,16.3,1,Ia-91bg,Ia,2,0,3.564009980204528,0.12027259948070142,0.033746426117976056,4.298984491438036,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,48.00540018766388,0.11354772656230823,0.002365311529920065
2577,sn2007al,11.3,1,Ia-91bg,Ia,2,0,5.230038376789053,0.1319150588091066,0.025222579511949006,7.342337328198987,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,35.52193751462214,0.13109169689775965,0.0036904433167193507
2587,sn2007ba,2.085,1,Ia-91bg,Ia,2,0,14.665608428800756,0.2794221890847858,0.019052887607175453,8.525130658255131,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,37.78830929133297,0.2794739975644377,0.007395779350957549
2699,sn2004gv,13.3,1,Ib-norm,Ib,4,1,7.733614249879627,0.14549238957523844,0.01881298767617004,4.7799181026159765,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.544450347131566,0.13919650411550033,0.004149613503129087
2702,sn2004gv,49.3,1,Ib-norm,Ib,4,1,3.67046346744544,0.2119841910984859,0.05775406647652105,6.7637142845088825,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,32.758964626013864,0.2064182564329576,0.006301122724405065
2724,sn2005bf,31.7,1,Ib-norm,Ib,4,1,8.081955067187033,0.2898302343254385,0.03586140134608734,6.5499168035369975,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,33.76190712987214,0.2828677784272,0.008378311608378364
2737,sn2005hg,-0.29,1,Ib-norm,Ib,4,1,9.254504807488459,0.2548825479733466,0.027541457190351615,7.328164726384465,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,32.270279849494315,0.250909327242643,0.007775244851078502
2745,sn2006ep,45.5,1,Ib-norm,Ib,4,1,13.118225344269362,0.34866021305670875,0.026578306432967276,6.505358917650746,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,26.163181211327277,0.33882657739447497,0.012950511432752717
2782,sn2008d,18.0,1,Ib-norm,Ib,4,1,11.173932339322958,0.3070817410321177,0.027481976058817283,6.252003059873451,500.0,0.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,25.434085130527215,0.3040207178159942,0.011953279084180382
2826,sn2009jf,24.0,1,Ib-norm,Ib,4,1,15.141279935732467,0.2671995002006307,0.017647088049013396,6.1027702818696925,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,36.49066711967917,0.25443223265458875,0.006972528943363032
2830,sn2009jf,31.0,1,Ib-norm,Ib,4,1,13.431609030195977,0.26977490953026045,0.020085077590017094,9.999670809290835,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,20.168210362720565,0.2569104389045352,0.012738385522763834
2833,sn2009jf,46.6,1,Ib-norm,Ib,4,1,10.532590581139521,0.2806941348038589,0.02665005656884563,10.0,500.0,0.0,2.0,0.0,0.0,100.0,100.0,True,True,False,20.0,29.373101442767645,0.27120753222143756,0.009233193598908
2854,sn2000er,6.7,1,Ibn,Ib,5,1,9.98625814680979,0.1665537308178321,0.01667829214599658,4.222583756861007,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,59.766729757307964,0.16444064319767956,0.002751374282404545
2855,sn2000er,8.7,1,Ibn,Ib,5,1,8.796607160441205,0.16029758774695607,0.018222660717170887,4.418207716330366,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,40.95484447978847,0.1583995178164131,0.0038676625397658262
2856,sn2000er,9.7,1,Ibn,Ib,5,1,14.629973254604552,0.1955993057474085,0.013369765094125973,4.832422652220371,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,52.58265656914828,0.1996979812181856,0.0037977917862627355
2860,sn2002ao,30.6,1,Ibn,Ib,5,1,10.727803136122336,0.25836681278879375,0.024083851046709535,5.955747894879099,50.0,50.0,,0.0,0.0,100.0,100.0,True,False,False,20.0,28.691200647506715,0.24566908846317723,0.008562523802381412
2868,sn2006jc,15.5,1,Ibn,Ib,5,1,32.23444714989825,0.2468610913960637,0.007658300768990944,6.034354716420196,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,35.455573957598325,0.24115015907285622,0.00680147384897083
2869,sn2006jc,17.5,1,Ibn,Ib,5,1,56.50988076948305,0.2431219856115184,0.004302291604600434,10.0,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,27.99265260369254,0.2439704077331704,0.008715515860079227
2870,sn2006jc,18.5,1,Ibn,Ib,5,1,83.33232975408708,0.2403099764282412,0.0028837544460522543,6.515035818271449,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,32.754253721805966,0.24526592190326035,0.007488063198947986
2871,sn2006jc,19.5,1,Ibn,Ib,5,1,34.86401925520926,0.25961924675488546,0.007446624121402585,6.249946127987944,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,28.25322895372755,0.25882393689085187,0.009160862190822416
2872,sn2006jc,30.5,1,Ibn,Ib,5,1,27.850001481286547,0.23337835136049387,0.008379832637255315,6.5537941215224205,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,33.951385019026915,0.2332034763476015,0.0068687470692848146
2873,sn2006jc,33.5,1,Ibn,Ib,5,1,27.240658996107463,0.24947293600760734,0.009158109429116807,6.852956388821132,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,29.549883301175697,0.2529398164198861,0.00855975686407609
2874,sn2006jc,35.5,1,Ibn,Ib,5,1,47.47878988513879,0.25102994619669733,0.005287201860114627,9.999662578252549,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,26.80431087755197,0.24364242650148937,0.009089673210197493
2875,sn2006jc,38.5,1,Ibn,Ib,5,1,23.214612263911153,0.24246727292110473,0.01044459714272455,6.4732811949514,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,35.303894834670494,0.24932392314130322,0.0070622214435233505
2876,sn2006jc,42.5,1,Ibn,Ib,5,1,64.23412016370851,0.25080764496388086,0.003904585978988533,7.022999552719082,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,34.11323117651847,0.25204715934467053,0.007388545460277738
2877,sn2006jc,43.0,1,Ibn,Ib,5,1,95.38711897442828,0.25437274790247283,0.002666741071933056,6.457328726810891,50.0,50.0,,0.0,0.0,100.0,100.0,True,True,False,20.0,24.646520324086808,0.25403402912115597,0.010307095110415686
